110,0,0,0,0,4,0,,,,,,,,,
128,8,36,22,17,184,9,,,,,,,,,
133,3,20,15,3,27,11,,,,,,,,,
134,0,9,0,0,3,0,,,,,,,,,
140,25,108,23,9,25,36,,,,,,,,,
141,11,32,34,9,12,75,,,,,,,,,
142,8,55,15,9,21,43,,,,,,,,,
Total,"11,607","82,407",14,"14,136","63,258",22,,,,,,,,,
"2016 Elk Harvest, Hunters and Percent Success for First Rifle Seasons",,,,,,,,,,,,,,,
,Antlered,Antlered,Antlered,Antlerless,Antlerless,Antlerless,,,,,,,,,
Unit,Harvest,Hunters,% Success,Harvest,Hunters,% Success,,,,,,,,,
1,0,0,0,2,8,25,,,,,,,,,
2,0,0,0,11,28,39,,,,,,,,,
201,0,0,0,19,31,61,,,,,,,,,
3,83,182,46,31,79,39,,,,,,,,,
301,18,55,33,0,23,0,,,,,,,,,
4,173,537,32,154,285,54,,,,,,,,,
441,73,155,47,12,43,28,,,,,,,,,
5,91,235,39,44,136,32,,,,,,,,,
6,0,0,0,67,461,15,,,,,,,,,
7,21,167,13,0,0,0,,,,,,,,,
8,25,122,20,0,0,0,,,,,,,,,
9,3,11,27,0,0,0,,,,,,,,,
10,0,0,0,42,53,79,,,,,,,,,
,,,,,,27,,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Percent Success for First Rifle Seasons",,,,,,,,,,,,,,,
,Antlered,Antlered,Antlered,Antlerless,Antlerless,Antlerless,,,,,,,,,
Unit,Harvest,Hunters,% Success,Harvest,Hunters,% Success,,,,,,,,,
11,225,807,28,115,311,37,,,,,,,,,
211,36,172,21,18,26,69,,,,,,,,,
12,325,"1,008",32,134,420,32,,,,,,,,,
13,54,145,37,9,45,20,,,,,,,,,
131,0,46,0,9,27,33,,,,,,,,,
231,36,246,15,18,134,13,,,,,,,,,
14,45,115,39,20,86,23,,,,,,,,,
214,9,54,17,0,18,0,,,,,,,,,
15,0,0,0,16,178,9,,,,,,,,,
16,0,0,0,30,148,20,,,,,,,,,
161,0,0,0,14,170,8,,,,,,,,,
17,0,0,0,58,175,33,,,,,,,,,
171,0,0,0,14,158,9,,,,,,,,,
18,0,0,0,55,338,16,,,,,,,,,
181,0,0,0,2,74,3,,,,,,,,,
19,18,97,19,0,0,0,,,,,,,,,
191,9,35,26,0,0,0,,,,,,,,,
20,13,19,68,0,0,0,,,,,,,,,
21,62,265,23,10,51,20,,,,,,,,,
22,38,199,19,6,18,33,,,,,,,,,
23,145,635,23,54,206,26,,,,,,,,,
24,90,607,15,107,356,30,,,,,,,,,
25,46,164,28,18,54,33,,,,,,,,,
26,27,128,21,9,63,14,,,,,,,,,
27,0,0,0,9,88,10,,,,,,,,,
28,0,0,0,0,217,0,,,,,,,,,
29,2,10,20,0,8,0,,,,,,,,,
30,0,52,0,0,8,0,,,,,,,,,
31,64,130,49,4,19,21,,,,,,,,,
32,26,66,39,0,0,0,,,,,,,,,
33,37,357,10,9,179,5,,,,,,,,,
34,18,119,15,18,72,25,,,,,,,,,
35,0,0,0,5,93,5,,,,,,,,,
36,0,0,0,5,75,7,,,,,,,,,
361,0,0,0,6,15,40,,,,,,,,,
37,0,0,0,18,100,18,,,,,,,,,
371,0,0,0,15,93,16,,,,,,,,,
38,10,35,29,3,18,17,,,,,,,,,
39,16,52,31,8,20,40,,,,,,,,,
391,1,12,8,0,0,0,,,,,,,,,
40,0,0,0,15,29,52,,,,,,,,,
41,26,246,11,29,199,15,,,,,,,,,
411,27,70,39,0,18,0,,,,,,,,,
42,9,206,4,30,126,24,,,,,,,,,
421,69,257,27,36,184,20,,,,,,,,,
43,0,0,0,9,30,30,,,,,,,,,
44,0,0,0,9,71,13,,,,,,,,,
444,0,0,0,5,27,19,,,,,,,,,
45,0,0,0,14,37,38,,,,,,,,,
46,6,20,30,0,15,0,,,,,,,,,
461,0,11,0,0,0,0,,,,,,,,,
47,0,0,0,1,31,3,,,,,,,,,
471,0,0,0,3,3,100,,,,,,,,,
48,18,64,28,0,0,0,,,,,,,,,
481,29,63,46,0,0,0,,,,,,,,,
49,42,75,56,0,0,0,,,,,,,,,
,,,,,,28,,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Percent Success for First Rifle Seasons",,,,,,,,,,,,,,,
,Antlered,Antlered,Antlered,Antlerless,Antlerless,Antlerless,,,,,,,,,
Unit,Harvest,Hunters,% Success,Harvest,Hunters,% Success,,,,,,,,,
50,6,42,14,0,0,0,,,,,,,,,
500,33,97,34,0,0,0,,,,,,,,,
501,9,34,26,0,0,0,,,,,,,,,
51,11,34,32,3,18,17,,,,,,,,,
511,15,69,22,3,30,10,,,,,,,,,
52,0,55,0,20,81,25,,,,,,,,,
521,96,239,40,60,279,22,,,,,,,,,
53,40,144,28,42,193,22,,,,,,,,,
54,39,310,13,9,92,10,,,,,,,,,
55,41,262,16,63,303,21,,,,,,,,,
551,17,68,25,18,105,17,,,,,,,,,
56,6,43,14,0,0,0,,,,,,,,,
561,5,27,19,0,0,0,,,,,,,,,
57,18,45,40,7,26,27,,,,,,,,,
58,16,33,48,12,53,23,,,,,,,,,
581,3,45,7,7,30,23,,,,,,,,,
59,2,40,5,0,17,0,,,,,,,,,
60,15,38,39,4,10,40,,,,,,,,,
61,95,123,77,37,55,67,,,,,,,,,
62,79,258,31,32,82,39,,,,,,,,,
63,9,59,15,23,68,34,,,,,,,,,
64,0,0,0,0,31,0,,,,,,,,,
65,0,0,0,23,140,16,,,,,,,,,
66,77,265,29,21,123,17,,,,,,,,,
67,44,274,16,24,92,26,,,,,,,,,
68,42,266,16,0,0,0,,,,,,,,,
681,12,99,12,0,0,0,,,,,,,,,
69,12,26,46,0,0,0,,,,,,,,,
76,94,184,51,0,2,0,,,,,,,,,
79,7,127,6,4,44,9,,,,,,,,,
80,30,425,7,0,0,0,,,,,,,,,
81,57,368,15,0,0,0,,,,,,,,,
82,0,0,0,2,14,14,,,,,,,,,
84,14,44,32,0,0,0,,,,,,,,,
851,3,5,60,0,0,0,,,,,,,,,
104,6,18,33,0,0,0,,,,,,,,,
Total,"3,018","12,217",25,"1,763","7,866",22,,,,,,,,,
"2016 Elk Harvest, Hunters and Percent Success for Second Rifle Seasons",,,,,,,,,,,,,,,
,Antlered,Antlered,Antlered,Antlerless,Antlerless,Antlerless,,,,,,,,,
Unit,Harvest,Hunters,% Success,Harvest,Hunters,% Success,,,,,,,,,
1,0,0,0,3,20,15,,,,,,,,,
2,0,0,0,10,21,48,,,,,,,,,
201,0,0,0,22,52,42,,,,,,,,,
3,40,261,15,27,186,15,,,,,,,,,
301,28,209,13,17,104,16,,,,,,,,,
4,165,963,17,49,408,12,,,,,,,,,
441,54,357,15,21,124,17,,,,,,,,,
5,111,485,23,12,57,21,,,,,,,,,
6,57,471,12,59,556,11,,,,,,,,,
7,76,393,19,17,111,15,,,,,,,,,
8,39,412,9,11,97,11,,,,,,,,,
9,10,20,50,0,0,0,,,,,,,,,
,,,,,,29,,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Percent Success for Second Rifle Seasons",,,,,,,,,,,,,,,
,Antlered,Antlered,Antlered,Antlerless,Antlerless,Antlerless,,,,,,,,,
Unit,Harvest,Hunters,% Success,Harvest,Hunters,% Success,,,,,,,,,
10,0,0,0,27,62,44,,,,,,,,,
11,50,360,14,36,293,12,,,,,,,,,
211,95,335,28,45,186,24,,,,,,,,,
12,130,629,21,99,761,13,,,,,,,,,
13,66,273,24,64,173,37,,,,,,,,,
131,18,132,14,18,117,15,,,,,,,,,
231,18,253,7,21,150,14,,,,,,,,,
14,47,536,9,15,130,12,,,,,,,,,
214,65,321,20,62,273,23,,,,,,,,,
15,68,676,10,22,568,4,,,,,,,,,
16,40,254,16,17,181,9,,,,,,,,,
161,29,150,19,35,186,19,,,,,,,,,
17,35,216,16,26,308,8,,,,,,,,,
171,22,293,8,15,318,5,,,,,,,,,
18,50,690,7,44,406,11,,,,,,,,,
181,14,210,7,4,151,3,,,,,,,,,
19,38,282,13,6,82,7,,,,,,,,,
191,4,108,4,0,56,0,,,,,,,,,
20,9,20,45,0,19,0,,,,,,,,,
21,50,382,13,47,250,19,,,,,,,,,
22,99,502,20,29,173,17,,,,,,,,,
23,78,663,12,64,475,13,,,,,,,,,
24,61,643,9,87,536,16,,,,,,,,,
25,21,308,7,6,53,11,,,,,,,,,
26,29,303,10,10,47,21,,,,,,,,,
27,22,206,11,37,236,16,,,,,,,,,
28,59,656,9,20,242,8,,,,,,,,,
29,0,6,0,2,20,10,,,,,,,,,
30,18,126,14,24,103,23,,,,,,,,,
31,22,183,12,38,137,28,,,,,,,,,
32,22,170,13,15,84,18,,,,,,,,,
33,48,430,11,60,526,11,,,,,,,,,
34,22,282,8,3,117,3,,,,,,,,,
35,4,190,2,0,72,0,,,,,,,,,
36,59,370,16,6,164,4,,,,,,,,,
361,3,64,5,2,9,22,,,,,,,,,
37,16,371,4,0,60,0,,,,,,,,,
371,11,136,8,3,68,4,,,,,,,,,
38,11,297,4,2,28,7,,,,,,,,,
39,4,43,9,0,60,0,,,,,,,,,
391,3,7,43,0,0,0,,,,,,,,,
40,0,0,0,21,33,64,,,,,,,,,
41,35,206,17,34,224,15,,,,,,,,,
411,22,109,20,6,95,6,,,,,,,,,
42,92,665,14,99,589,17,,,,,,,,,
421,97,603,16,82,640,13,,,,,,,,,
43,68,476,14,62,283,22,,,,,,,,,
44,0,290,0,1,30,3,,,,,,,,,
444,21,269,8,4,112,4,,,,,,,,,
45,46,299,15,1,38,3,,,,,,,,,
46,6,30,20,0,31,0,,,,,,,,,
461,3,9,33,0,4,0,,,,,,,,,
47,7,142,5,3,64,5,,,,,,,,,
471,18,67,27,10,38,26,,,,,,,,,
48,13,64,20,25,67,37,,,,,,,,,
481,29,116,25,13,96,14,,,,,,,,,
,,,,,,30,,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Percent Success for Second Rifle Seasons",,,,,,,,,,,,,,,
,Antlered,Antlered,Antlered,Antlerless,Antlerless,Antlerless,,,,,,,,,
Unit,Harvest,Hunters,% Success,Harvest,Hunters,% Success,,,,,,,,,
49,38,85,45,51,134,38,,,,,,,,,
50,8,56,14,9,129,7,,,,,,,,,
500,20,89,22,15,210,7,,,,,,,,,
501,19,59,32,8,94,9,,,,,,,,,
51,6,35,17,5,44,11,,,,,,,,,
511,33,455,7,7,40,18,,,,,,,,,
52,26,280,9,24,279,9,,,,,,,,,
521,94,546,17,67,780,9,,,,,,,,,
53,75,350,21,25,94,27,,,,,,,,,
54,65,397,16,7,100,7,,,,,,,,,
55,116,"1,036",11,45,286,16,,,,,,,,,
551,59,452,13,18,233,8,,,,,,,,,
56,11,46,24,3,45,7,,,,,,,,,
561,2,22,9,3,25,12,,,,,,,,,
57,12,35,34,8,38,21,,,,,,,,,
58,16,42,38,4,54,7,,,,,,,,,
581,19,355,5,3,48,6,,,,,,,,,
59,23,87,26,0,9,0,,,,,,,,,
591,8,81,10,0,0,0,,,,,,,,,
60,21,59,36,2,8,25,,,,,,,,,
61,44,91,48,98,170,58,,,,,,,,,
62,142,"1,391",10,48,148,32,,,,,,,,,
63,40,207,19,6,119,5,,,,,,,,,
64,14,145,10,3,81,4,,,,,,,,,
65,69,450,15,29,204,14,,,,,,,,,
66,45,233,19,25,144,17,,,,,,,,,
67,21,244,9,3,126,2,,,,,,,,,
68,18,393,5,19,186,10,,,,,,,,,
681,14,251,6,9,146,6,,,,,,,,,
69,6,35,17,6,92,7,,,,,,,,,
691,0,29,0,0,10,0,,,,,,,,,
70,118,674,18,56,294,19,,,,,,,,,
71,116,719,16,33,131,25,,,,,,,,,
711,50,394,13,13,47,28,,,,,,,,,
72,11,130,8,0,17,0,,,,,,,,,
73,18,191,9,4,21,19,,,,,,,,,
74,58,486,12,22,69,32,,,,,,,,,
741,7,58,12,0,0,0,,,,,,,,,
75,26,282,9,9,89,10,,,,,,,,,
751,18,165,11,2,38,5,,,,,,,,,
76,25,55,45,56,196,29,,,,,,,,,
77,91,722,13,15,74,20,,,,,,,,,
771,7,134,5,7,9,78,,,,,,,,,
78,87,678,13,12,35,34,,,,,,,,,
79,8,92,9,6,88,7,,,,,,,,,
80,84,875,10,0,4,0,,,,,,,,,
81,92,921,10,0,6,0,,,,,,,,,
82,66,334,20,18,171,11,,,,,,,,,
83,37,266,14,0,0,0,,,,,,,,,
84,15,45,33,12,96,13,,,,,,,,,
85,72,545,13,3,40,8,,,,,,,,,
851,20,100,20,0,3,0,,,,,,,,,
86,51,340,15,22,188,12,,,,,,,,,
861,25,99,25,5,30,17,,,,,,,,,
104,2,8,25,0,0,0,,,,,,,,,
133,3,14,21,0,0,0,,,,,,,,,
,,,,,,31,,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Percent Success for Second Rifle Seasons",,,,,,,,,,,,,,,
,Antlered,Antlered,Antlered,Antlerless,Antlerless,Antlerless,,,,,,,,,
Unit,Harvest,Hunters,% Success,Harvest,Hunters,% Success,,,,,,,,,
134,0,3,0,0,0,0,,,,,,,,,
140,7,47,15,0,0,0,,,,,,,,,
141,10,25,40,0,0,0,,,,,,,,,
142,4,11,36,0,0,0,,,,,,,,,
Total,"4,709","35,441",13,"2,465","17,682",14,,,,,,,,,
"2016 Elk Harvest, Hunters and Percent Success for Third Rifle Seasons",,,,,,,,,,,,,,,
,Antlered,Antlered,Antlered,Antlerless,Antlerless,Antlerless,,,,,,,,,
Unit,Harvest,Hunters,% Success,Harvest,Hunters,% Success,,,,,,,,,
1,0,0,0,0,12,0,,,,,,,,,
2,0,0,0,26,31,84,,,,,,,,,
201,0,0,0,11,27,41,,,,,,,,,
3,27,635,4,60,562,11,,,,,,,,,
301,37,429,9,18,255,7,,,,,,,,,
4,130,764,17,58,241,24,,,,,,,,,
441,40,268,15,13,38,34,,,,,,,,,
5,26,218,12,6,26,23,,,,,,,,,
6,28,378,7,5,196,3,,,,,,,,,
7,26,204,13,9,83,11,,,,,,,,,
8,0,188,0,10,69,14,,,,,,,,,
9,3,12,25,0,0,0,,,,,,,,,
10,0,0,0,10,67,15,,,,,,,,,
11,83,561,15,70,514,14,,,,,,,,,
211,80,481,17,12,311,4,,,,,,,,,
12,55,512,11,128,657,19,,,,,,,,,
13,89,317,28,50,162,31,,,,,,,,,
131,0,75,0,7,71,10,,,,,,,,,
231,17,121,14,20,74,27,,,,,,,,,
14,20,268,7,8,65,12,,,,,,,,,
214,14,118,12,17,86,20,,,,,,,,,
15,28,535,5,22,364,6,,,,,,,,,
16,35,197,18,7,132,5,,,,,,,,,
161,15,148,10,0,22,0,,,,,,,,,
17,15,247,6,27,248,11,,,,,,,,,
171,24,243,10,2,118,2,,,,,,,,,
18,54,671,8,48,533,9,,,,,,,,,
181,11,191,6,1,145,1,,,,,,,,,
19,23,137,17,0,59,0,,,,,,,,,
191,17,114,15,0,57,0,,,,,,,,,
20,11,20,55,1,17,6,,,,,,,,,
21,15,333,5,89,193,46,,,,,,,,,
22,64,472,14,54,176,31,,,,,,,,,
23,87,591,15,38,424,9,,,,,,,,,
24,31,261,12,0,190,0,,,,,,,,,
25,14,188,7,2,45,4,,,,,,,,,
26,24,204,12,2,40,5,,,,,,,,,
27,8,163,5,0,133,0,,,,,,,,,
28,31,524,6,25,291,9,,,,,,,,,
29,0,3,0,19,25,76,,,,,,,,,
30,7,177,4,8,135,6,,,,,,,,,
31,33,245,13,22,134,16,,,,,,,,,
32,4,130,3,7,65,11,,,,,,,,,
33,26,294,9,16,247,6,,,,,,,,,
,,,,,,32,,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Percent Success for Third Rifle Seasons",,,,,,,,,,,,,,,
,Antlered,Antlered,Antlered,Antlerless,Antlerless,Antlerless,,,,,,,,,
Unit,Harvest,Hunters,% Success,Harvest,Hunters,% Success,,,,,,,,,
34,8,131,6,3,53,6,,,,,,,,,
35,43,253,17,19,77,25,,,,,,,,,
36,28,247,11,1,63,2,,,,,,,,,
361,8,87,9,0,46,0,,,,,,,,,
37,28,289,10,0,136,0,,,,,,,,,
371,15,80,19,0,93,0,,,,,,,,,
38,25,137,18,2,16,13,,,,,,,,,
39,15,42,36,0,32,0,,,,,,,,,
391,5,16,31,0,0,0,,,,,,,,,
40,0,0,0,4,29,14,,,,,,,,,
41,17,216,8,22,186,12,,,,,,,,,
411,20,130,15,12,68,18,,,,,,,,,
42,56,424,13,109,600,18,,,,,,,,,
421,48,327,15,12,265,5,,,,,,,,,
43,35,390,9,32,198,16,,,,,,,,,
44,13,263,5,5,21,24,,,,,,,,,
444,24,203,12,4,79,5,,,,,,,,,
45,17,215,8,3,42,7,,,,,,,,,
46,7,18,39,2,18,11,,,,,,,,,
461,0,11,0,0,2,0,,,,,,,,,
47,8,121,7,6,35,17,,,,,,,,,
471,4,24,17,2,11,18,,,,,,,,,
48,3,20,15,8,26,31,,,,,,,,,
481,8,60,13,0,49,0,,,,,,,,,
49,10,36,28,54,147,37,,,,,,,,,
50,16,96,17,16,152,11,,,,,,,,,
500,6,23,26,38,95,40,,,,,,,,,
501,10,38,26,7,54,13,,,,,,,,,
51,5,30,17,2,26,8,,,,,,,,,
511,17,383,4,3,34,9,,,,,,,,,
52,7,213,3,16,174,9,,,,,,,,,
521,22,271,8,61,330,18,,,,,,,,,
53,15,181,8,29,135,21,,,,,,,,,
54,54,553,10,9,70,13,,,,,,,,,
55,36,810,4,26,328,8,,,,,,,,,
551,20,363,6,36,228,16,,,,,,,,,
56,14,48,29,8,49,16,,,,,,,,,
561,5,25,20,0,27,0,,,,,,,,,
57,10,46,22,20,54,37,,,,,,,,,
58,15,42,36,6,47,13,,,,,,,,,
581,24,351,7,0,29,0,,,,,,,,,
59,12,98,12,0,29,0,,,,,,,,,
591,17,91,19,0,0,0,,,,,,,,,
60,4,88,5,0,9,0,,,,,,,,,
61,27,55,49,85,182,47,,,,,,,,,
62,62,829,7,40,133,30,,,,,,,,,
63,21,134,16,15,66,23,,,,,,,,,
64,12,121,10,12,96,13,,,,,,,,,
65,43,364,12,36,157,23,,,,,,,,,
66,26,137,19,24,186,13,,,,,,,,,
67,7,146,5,57,186,31,,,,,,,,,
68,24,408,6,11,171,6,,,,,,,,,
681,15,235,6,2,113,2,,,,,,,,,
69,5,25,20,2,69,3,,,,,,,,,
691,0,17,0,0,8,0,,,,,,,,,
70,64,753,8,31,217,14,,,,,,,,,
,,,,,,33,,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Percent Success for Third Rifle Seasons",,,,,,,,,,,,,,,
,Antlered,Antlered,Antlered,Antlerless,Antlerless,Antlerless,,,,,,,,,
Unit,Harvest,Hunters,% Success,Harvest,Hunters,% Success,,,,,,,,,
71,41,581,7,14,55,25,,,,,,,,,
711,27,812,3,23,116,20,,,,,,,,,
72,13,142,9,0,12,0,,,,,,,,,
73,0,202,0,3,20,15,,,,,,,,,
74,27,277,10,5,37,14,,,,,,,,,
741,11,76,14,0,0,0,,,,,,,,,
75,88,353,25,37,121,31,,,,,,,,,
751,35,241,15,29,89,33,,,,,,,,,
76,12,29,41,36,159,23,,,,,,,,,
77,103,842,12,10,44,23,,,,,,,,,
771,35,268,13,0,10,0,,,,,,,,,
78,79,702,11,6,25,24,,,,,,,,,
79,12,73,16,0,73,0,,,,,,,,,
80,47,530,9,0,3,0,,,,,,,,,
81,35,585,6,0,8,0,,,,,,,,,
82,32,313,10,37,179,21,,,,,,,,,
83,43,473,9,0,0,0,,,,,,,,,
84,8,20,40,2,29,7,,,,,,,,,
85,103,467,22,0,30,0,,,,,,,,,
851,22,96,23,9,12,75,,,,,,,,,
86,19,276,7,0,101,0,,,,,,,,,
861,4,68,6,0,8,0,,,,,,,,,
104,0,6,0,0,0,0,,,,,,,,,
134,0,4,0,0,0,0,,,,,,,,,
140,18,61,30,0,0,0,,,,,,,,,
141,0,4,0,0,0,0,,,,,,,,,
142,0,29,0,0,0,0,,,,,,,,,
Total,"3,126","29,881",10,"2,031","14,217",14,,,,,,,,,
"2016 Elk Harvest, Hunters and Percent Success for Fourth Rifle Seasons",,,,,,,,,,,,,,,
,Antlered,Antlered,Antlered,Antlerless,Antlerless,Antlerless,,,,,,,,,
Unit,Harvest,Hunters,% Success,Harvest,Hunters,% Success,,,,,,,,,
1,0,0,0,5,18,28,,,,,,,,,
2,0,0,0,13,20,65,,,,,,,,,
201,0,0,0,9,31,29,,,,,,,,,
3,25,397,6,35,461,8,,,,,,,,,
301,23,187,12,13,177,7,,,,,,,,,
4,23,263,9,42,239,18,,,,,,,,,
441,9,97,9,0,43,0,,,,,,,,,
5,1,9,11,4,65,6,,,,,,,,,
6,0,0,0,15,99,15,,,,,,,,,
7,1,65,2,3,23,13,,,,,,,,,
8,9,78,12,0,10,0,,,,,,,,,
9,6,9,67,0,0,0,,,,,,,,,
10,0,0,0,22,79,28,,,,,,,,,
11,44,263,17,106,716,15,,,,,,,,,
211,22,150,15,44,282,16,,,,,,,,,
12,25,183,14,74,313,24,,,,,,,,,
13,0,89,0,21,133,16,,,,,,,,,
131,2,31,6,10,21,48,,,,,,,,,
231,3,26,12,0,9,0,,,,,,,,,
14,8,69,12,4,38,11,,,,,,,,,
214,5,27,19,3,16,19,,,,,,,,,
,,,,,,34,,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Percent Success for Fourth Rifle Seasons",,,,,,,,,,,,,,,
,Antlered,Antlered,Antlered,Antlerless,Antlerless,Antlerless,,,,,,,,,
Unit,Harvest,Hunters,% Success,Harvest,Hunters,% Success,,,,,,,,,
15,0,0,0,9,77,12,,,,,,,,,
16,0,0,0,7,70,10,,,,,,,,,
161,0,0,0,0,13,0,,,,,,,,,
17,0,0,0,0,85,0,,,,,,,,,
171,0,0,0,0,106,0,,,,,,,,,
18,0,0,0,46,415,11,,,,,,,,,
181,0,0,0,0,88,0,,,,,,,,,
19,3,53,6,0,12,0,,,,,,,,,
191,3,61,5,0,20,0,,,,,,,,,
20,11,17,65,2,11,18,,,,,,,,,
21,18,103,17,29,75,39,,,,,,,,,
22,32,103,31,16,78,21,,,,,,,,,
23,13,152,9,113,277,41,,,,,,,,,
24,7,69,10,12,97,12,,,,,,,,,
25,2,37,5,5,10,50,,,,,,,,,
26,8,70,11,0,5,0,,,,,,,,,
27,0,0,0,3,72,4,,,,,,,,,
28,0,0,0,36,191,19,,,,,,,,,
29,2,7,29,2,10,20,,,,,,,,,
30,14,106,13,6,83,7,,,,,,,,,
31,0,68,0,24,131,18,,,,,,,,,
32,0,14,0,14,46,30,,,,,,,,,
33,16,93,17,21,77,27,,,,,,,,,
34,2,19,11,0,11,0,,,,,,,,,
35,0,0,0,4,9,44,,,,,,,,,
361,0,0,0,0,6,0,,,,,,,,,
37,0,0,0,7,112,6,,,,,,,,,
371,0,0,0,16,98,16,,,,,,,,,
38,4,28,14,0,11,0,,,,,,,,,
39,2,16,13,0,6,0,,,,,,,,,
391,0,6,0,0,0,0,,,,,,,,,
40,0,0,0,9,32,28,,,,,,,,,
41,2,75,3,13,78,17,,,,,,,,,
411,0,11,0,11,32,34,,,,,,,,,
42,2,111,2,27,157,17,,,,,,,,,
421,9,70,13,7,67,10,,,,,,,,,
43,0,0,0,16,67,24,,,,,,,,,
44,0,0,0,0,2,0,,,,,,,,,
444,0,0,0,0,11,0,,,,,,,,,
46,0,7,0,0,3,0,,,,,,,,,
461,0,4,0,0,0,0,,,,,,,,,
48,0,3,0,4,36,11,,,,,,,,,
481,0,12,0,0,16,0,,,,,,,,,
49,2,6,33,23,129,18,,,,,,,,,
50,5,32,16,15,72,21,,,,,,,,,
500,0,7,0,2,17,12,,,,,,,,,
501,3,17,18,4,27,15,,,,,,,,,
51,5,10,50,0,14,0,,,,,,,,,
511,4,77,5,4,9,44,,,,,,,,,
52,14,33,42,2,22,9,,,,,,,,,
521,0,86,0,23,121,19,,,,,,,,,
53,4,23,17,4,46,9,,,,,,,,,
54,34,121,28,3,61,5,,,,,,,,,
55,0,0,0,27,113,24,,,,,,,,,
551,0,0,0,21,46,46,,,,,,,,,
56,12,24,50,11,23,48,,,,,,,,,
,,,,,,35,,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Percent Success for Fourth Rifle Seasons",,,,,,,,,,,,,,,
,Antlered,Antlered,Antlered,Antlerless,,Antlerless,Antlerless,,,,,,,,
Unit,Harvest,Hunters,% Success,Harvest,,Hunters,% Success,,,,,,,,
561,0,11,0,,2,17,12,,,,,,,,
57,23,38,61,,14,43,33,,,,,,,,
58,11,41,27,,24,50,48,,,,,,,,
581,0,92,0,,0,8,0,,,,,,,,
59,1,60,2,,2,2,100,,,,,,,,
60,0,0,0,,2,5,40,,,,,,,,
61,11,18,61,104,,207,50,,,,,,,,
62,0,0,0,,6,14,43,,,,,,,,
63,3,12,25,,10,39,26,,,,,,,,
64,0,0,0,,3,15,20,,,,,,,,
65,0,0,0,,22,56,39,,,,,,,,
66,14,51,27,,30,103,29,,,,,,,,
67,9,66,14,,34,177,19,,,,,,,,
68,8,113,7,,0,83,0,,,,,,,,
681,0,52,0,,0,37,0,,,,,,,,
69,9,14,64,,0,6,0,,,,,,,,
70,0,0,0,,27,182,15,,,,,,,,
71,0,0,0,,4,4,100,,,,,,,,
711,0,0,0,,11,96,11,,,,,,,,
72,0,0,0,,2,3,67,,,,,,,,
73,0,0,0,,0,2,0,,,,,,,,
74,4,47,9,,0,12,0,,,,,,,,
741,0,2,0,,0,0,0,,,,,,,,
75,6,52,12,,12,41,29,,,,,,,,
751,3,29,10,,0,30,0,,,,,,,,
76,0,0,0,,12,168,7,,,,,,,,
77,10,46,22,,6,32,19,,,,,,,,
771,0,11,0,,0,3,0,,,,,,,,
78,14,35,40,,9,19,47,,,,,,,,
79,0,0,0,,2,57,4,,,,,,,,
80,0,25,0,,30,200,15,,,,,,,,
81,4,23,17,,59,189,31,,,,,,,,
82,0,0,0,,5,35,14,,,,,,,,
84,20,29,69,,12,42,29,,,,,,,,
85,0,0,0,,17,30,57,,,,,,,,
851,2,5,40,,0,0,0,,,,,,,,
86,0,0,0,,8,25,32,,,,,,,,
861,0,0,0,,0,10,0,,,,,,,,
104,0,8,0,,0,0,0,,,,,,,,
133,0,6,0,,0,0,0,,,,,,,,
134,0,2,0,,0,0,0,,,,,,,,
141,1,3,33,,0,0,0,,,,,,,,
142,4,15,27,,0,0,0,,,,,,,,
Total,596,"4,600",13,"1,490",,"8,338",18,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for All Archery Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
1,2,0,0,2,2,100,24,,,,,,,,
2,5,0,0,5,10,50,129,,,,,,,,
201,8,0,0,8,9,89,147,,,,,,,,
3,0,0,0,0,78,0,519,,,,,,,,
301,7,3,0,10,62,16,368,,,,,,,,
,,,,,,,36,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for All Archery Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
4,54,31,6,91,387,24,"2,533",,,,,,,,
441,23,14,0,37,168,22,"1,179",,,,,,,,
5,17,11,0,28,152,18,"1,087",,,,,,,,
6,27,37,3,67,840,8,"5,382",,,,,,,,
7,21,0,0,21,404,5,"3,318",,,,,,,,
8,10,21,10,41,325,13,"2,786",,,,,,,,
9,4,0,0,4,25,16,125,,,,,,,,
